Connect with elected officials and regulators		
responsible for Bay Area air quality and protecting the public's health.		
		
Text	Link	Bullet Points
Bay Area Air Quality Management District (BAAQMD) Community Engagement	http://www.baaqmd.gov/in-your-community	Learn about the Air District activities in your community, view interactive maps of permitted facilities and current air quality, and explore local outreach and Health Risk evaluation programs
BAAQMD Air Pollution Complaints	http://www.baaqmd.gov/online-services/air-pollution-complaints	
BAAQMD Petroleum Emissions Tracking Rule 12-15 (requires fenceline monitoring)	https://www.baaqmd.gov/rules-and-compliance/rules/regulation-12-rule-15--petroleum-refining-emissions-tracking	
BAAQMD page on Community Air Protection Program (AB 617)	http://www.baaqmd.gov/plans-and-climate/community-health-protection-program	
California Air Resources Board page on Community Air Protection Program (AB 617) 	https://ww2.arb.ca.gov/our-work/programs/community-air-protection-program-ab617	
CARB Emissions Inventory Page, including Pollution Mapping Tool	https://www.arb.ca.gov/ei/ei.htm	
CARB Air Pollution Complaints	https://www.arb.ca.gov/enf/complaints/complaints.htm	
Benicia City Council	https://www.ci.benicia.ca.us/citycouncil	
Benicia Fire Department (hazardous materials and air monitoring)	https://www.ci.benicia.ca.us/publicinfobank	
Contra Costa County Board of Supervisors	https://www.contracosta.ca.gov/7283/Board-of-Supervisors	
Contra Costa County Hazardous Materials Programs	https://cchealth.org/hazmat/	
Contra Costa County Community Awareness and Emergency Response	https://www.cococaer.org/	
Richmond City Council	https://www.ci.richmond.ca.us/29/City-Council	
